,date,title,content,label
0,20170101,"朴대통령 ""뇌물죄, 완전히 엮은 것…세월호 허위 걷혀야""(종합)","새해 첫날 청와대서 사실상 기자간담회…직무정지 23일 만에 첫 입장표명""공모나 누구 봐준 일 손톱만큼도 없다…삼성 합병은 올바른 정책적 판단""'7시간 의혹'에 ""입에 담기 민망한 이야기·너무 어이없다"" 반박""블랙리스트 전혀 모르는 일…특검 연락오면 성실히 임하겠다""(서울=연합뉴스) 정윤섭 강건택 이한승 기자 = 박근혜 대통령은 1일 삼성물산과 제일모직 합병 과정을 놓고 뇌물죄 의혹이 불거진 것과 관련해 ""완전히 나를 엮은 것""이라고 정면으로 반박했다. 박 대통령은 정유년 새해 첫날 청와대 상춘재에서 출입기자단과 신년 인사회를 한 자리에서 ""누구를 봐줄 생각은 손톱만큼도 없었고 제 머릿속에서도 없었다""며 이같이 말했다. 박 대통령의 이러한 언급은 삼성 측이 삼성물산-제일모직 합병 찬성의 대가로 미르·K스프츠 재단에 돈을 기부하고, 최순실 씨의 딸 정유라씨에 대한 승마훈련 지원 등을 했다는 의혹을 정면으로 반박한 것이다. 특히 박영수 특별검사팀이 박 대통령을 겨냥해 뇌물죄 의혹을 입증하기 위해 집중적으로 수사하는 상황에서 ""엮었다""는 입장을 공식 표명함에 따라 향후 탄핵심판 및 특검수사 과정에서 강도 높은 대응이 예상된다. 지난달 9일 국회의 탄핵소추안 가결로 직무가 정지된 이후 박 대통령이 참모진과 탄핵심판 대리인단 외에 외부인을 만난 것은 23일 만이다.  특히 박 대통령은 직무정지 이후 대외 활동을 중단한 채 최순실 게이트에 대한 직접적인 입장 표명을 자제했으나 이날 사실상의 기자 간담회를 통해 각종 의혹을 조목조목 반박했다.박 대통령은 삼성물산-제일모직 합병 문제에 대해 ""공모나 누구를 봐주기 위해 한 일은 손톱만큼도 없다는 것을 분명히 말씀드릴 수 있다""며 ""그것은 어떤 결정이든 간에 국가의 올바른 정책판단이다. 여기저기를 제가 도와주라고 한 적은 없다""고 강조했다. 그러면서 박 대통령은 ""특검의 연락이 오면 성실히 (조사에) 임하겠다""고 덧붙였다. 박 대통령은 최 씨와 연관된 KD 코퍼레이션의 현대차 납품 특혜 의혹에 대해서도 ""여기(KD코퍼레이션)도 기술력이 있다는데 거대한 기업에 끼여서 제대로 명함 한번 못 내미는 것 아닌가 해서 그럼 알아봐서 실력이 있다면 기회를 가질 수 있지 않으냐는 차원이었다""고 설명했다. 또한, ""(최 씨와 KD코퍼레이션 측이) 아는 사이였다는 것을 보도를 보고 알았다. 제가 누구를 알아도 그 사람의 개인적 이득을 위해 부탁하는 것은 절대 금기""라며 ""아는 건 아는 것이고, 절대 이익을 챙겨주는 일은 안될 일""이라고 반박했다. 이와 함께 박 대통령은 세월호 참사 당일 7시간 행적 의혹에 대해서도 ""저는 그날 정상적으로 계속 보고 받으면서 체크하고 있었다""며 ""전원 구조됐다고 해서 너무 기뻐 안심했는데 시간이 지나니 오보였다고 해 너무 놀랐다""고 밝혔다.  특히 '세월호 7시간 밀회설' 등에 대해 ""어느 날 갑자기 '밀회를 했다'는 식으로 나오니까 얼마나 기가 막히던지""라면서 ""말도 안 되고 입에도 담기 민망한 이야기를 했다. 대통령이 어떻게 밀회를 하겠나""라고 반박했다. 또한 ""시간이 지나니 '굿을 했다'는 이야기가 기정사실화됐다. 너무 어이가 없었는데 이번에는 성형수술 의혹도 떠올랐다""라며 ""미용시술 건은 전혀 아니다. 그게 어떻게 가능하겠나. 상식적으로도 있을 수가 없는 일""이라고 덧붙였다. 박 대통령은 ""헌법재판소가 상세 내용을 제출해달라고 해 대리인단을 통해 다 정리하고 추가해 지금 만들고 있다. 제출하면 헌법재판소에서 재판하게 될 텐데 이번만큼은 그런 허위가 완전히 걷혔으면 생각한다""라고 말했다. 박 대통령은 최순실 씨가 국정을 좌지우지했다는 의혹에 대해선 ""대통령의 직무와 판단이 있는데 어떻게 지인(최 씨)이 모든 것을 다한다고 엮을 수 있나""라면서 ""대통령으로서 철학과 소신을 갖고 국정을 운영해 왔다""고 강조했다. 아울러 박 대통령은 '문화계 블랙리스트' 의혹과 관련해 ""전혀 모르는 일""이라고 부인했고, 구속기소된 '문화계 황태자' 차은택 씨가 국회 청문회에서 장관과 수석 자리를 추천했다고 증언한 것에 대해서도 ""대통령으로서 누구와 친하다고 누구를 봐줘야겠다고 한 적이 없다는 것을 분명히 말씀드릴 수 있다""고 반박했다",BH
1,20170102,"정유라, 덴마크서 불법 체류 혐의로 체포···특검 “송환 협조중” (종합)","[아시아경제 정준영 기자] 이화여대 학사부정 및 삼성 특혜지원 의혹의 수혜자 겸 공범으로 지목된 비선실세 최순실(구속기소)씨 딸 정유라(지명수배)가 검거됐다. 2일 경찰청에 따르면 한국 경찰은 인터폴로부터 1일(현지시각) 덴마크 북부 올보르그에서 정씨 등 4명이 현지 경찰에 의해 불법체류 혐의로 체포됐다는 전문을 접수했다. 덴마크 경찰은 현지 제보를 토대로 정씨 신병을 확보했으며, 검거대상에는 2015년생 어린아이도 포함돼 정씨 자녀로 추정된다. 한국 경찰은 박영수 특별검사팀에 이를 통보하고 정확한 정씨 신병 상태 등을 파악 중이다. 특검은 외교 ·사법당국을 통해 정씨 신병을 넘겨받는 절차에 착수했다. 특검 관계자는 ""정씨 송환을 위해 관계기관과 협조중""이라고 밝혔다. 이대는 입시요강 변경 및 사후 취득 전형자료 등을 통해 정씨를 편법 입학시키고, 수업 참여나 과제 제출 등 학업 이수도에 비해 과도한 학점을 부여했다는 의혹을 받아왔다. 특검은 검찰 수사단계에서 업무방해 혐의 피의자로 입건된 최경희 전 총장, 남궁곤 전 입학처장, 김경숙 전 신산업융합대학장 등 이대 관계자 외에 정씨 본인도 형사책임이 인정된다고 보고 입건했다. 특검은 정씨 신병을 확보하기 위해 법원으로부터 업무방해 혐의 체포영장을 발부받은 뒤 기소중지 ·지명수배 조치하고, 여권무효화 등 외교당국을 통한 강제송환 추진, 독일 사법당국과의 사법공조 노력을 병행하고 있다. 지난달 27일에는 정씨에 대해 인터폴 적색수배도 요청했다.특검은 조교를 동원해 정씨의 시험 답안을 대신 작성하도록 하고 정씨에게 부당하게 학점을 준 혐의(업무방해 등)로 유철균 이화여대 디지털미디어학부 교수(필명 이인화)를 긴급체포하고 구속영장을 청구했다.작년 3월 대한승마협회 회장사에 오른 삼성은 최씨 소유 독일법인과 승마선수 지원 명목 200억원대 컨설팅 계약을 맺은 뒤 9월까지 78억여원을 집행했다. 해당 자금은 최씨 모녀의 생필품 구입자금 등으로 사사로이 유용돼 ‘맞춤형 뒷돈’으로 풀이되고 있다. 특검은 박 대통령이 경영승계 지원사격, 면세점 사업권, 총수사면 등 재계의 부정청탁과 비선실세 지원을 맞교환한 정황에 주목하고 있다. 비선실세의 사사로운 특혜, 이권개입에 권력이 동원된 정황이 도마 위에 올라 있다. 특히 미르 ·K스포츠재단에 국내 대기업집단 가운데 가장 많은 204억원을 출연하고, 비선실세 일가에 94억여원을 특혜지원한 재계 1위 삼성이 핵심 수사대상에 올라 있다. 특검은 경영승계 핵심 포석인 삼성물산 ·제일모직 합병에 주무부처가 개입해 국민연금이 찬성표를 던진 배경에 주목하고 있다. 당장 ‘1호 구속자’가 문형표 당시 보건복지부 장관(현 국민연금 이사장)이다. 한편 변호인이 정씨 도피를 거들어 왔다는 의혹 관련 그의 변호를 맡아 온 이경재 변호사는 “사실과 전혀 다르다. 정씨 자진 귀국을 조언해 왔다”고 해명했다. 정준영 기자",BH
2,20170103,"[단독]정유라, “(주사 아줌마)누구인지 알 것 같다”…현지 답변태도 분석, 사전 짜맞춘듯 증언","덴마크 올보르 법원에서 잠시 휴정중 기자들의 질문에 답변하는 정유라씨  사진=현지교민제공최순실씨 딸 정유라씨(21)는 덴마크 경찰에 체포된 후 2일(현지시각)법원에서 심문이 진행되는 도중 울음을 터트리기도 했지만 휴정 시간 한국 기자들에 둘러 싸여서는 거침없이 답변을 이어갔다. 현지 언론은 정씨가 체포될 당시 옷장에 숨어있다가 발각됐다고 보도했지만 기자들 앞에서는 소심한 모습을 찾기 어려웠다. 이화여대 학점특혜, 삼성의 승마훈련지원, 외국환 관리법위반, 도피 조력자에 대한 질문이 여기저기서 쏟아졌지만 정씨는 당황하는 기색이 없었다. 이미 체포될 경우에 대비해 이미 상당히 치밀하게 답변 준비를 마친 모습이었다.먼저 이화여대 학점 특혜의혹에 대해서는 “(2015년)학교에 입학하고 2016년 처음으로 (학점특혜로 구속된)류철균 교수하고 최경희 총장님을 학교에 가서 봤다”며 두 사람과 전혀 사전접촉이 없었음을 강조했다. 정씨는 “당시 엄마랑 학교에 같이 갔는데 나는 먼저 왔고 엄마만 학교에 남았다. 그리고 난 다음에 아예 몰랐는데 학점이 나왔다”며 학점 특혜에 대한 모든 책임을 이미 구속된 최씨에 떠넘겼다. 정씨는 ‘독일에 오기 전 휴학을 했어야 하는 것 아니냐’는 질문에 “나는 아이를 난지 두 달 만에 독일에 왔고 자퇴를 하려고 했다”며 “학교를 아예 안가서 담당교수님이 누군지도 모른다”고 했다. 독일에 올 때는 자퇴를 결심했기 때문에 편법으로 학점을 취득할 생각은 없었고 모든 과정은 어머니 최씨와 이대 교수 사이에 이뤄진 일이라는 것이다.  독일로 오기전 삼성그룹 차원의 치밀한 사전 승마훈련 지원계획이 있었다는 의혹은 개인적인 인연으로 답변을 풀어갔다. 정씨는 “(승마협회) 박원오 전무님이 내가 애기를 낳고 심경도 복잡하고 엄마가 남자친구를 마음에 들어하지 않아 자꾸 싸움만 하는 것을 보고 (권유를 해서)독일로 오게 된 것”이라고 했다. 그는 “박 전무님이 ‘머리도 식힐 겸 말타지 않을래’라고 해서 처음 여기 온 것인데 나중에 갑자가 박 전무님이 삼성에서 승마선수 6명을 뽑아서 말을 지원해준다고 했다”는 설명을 덧붙였다. 만 19세 나이에 신용장을 발부받는 방식으로 KEB·하나은행 독일현지 법인으로부터 특혜대출을 받았다는 의혹에 대해서는 “그것은 확실하게 설명 드릴 수 있다”며 기다렸다는 듯 준비된 답변을 내놨다. 정씨는 “아버지랑 어머니가 이혼하면서 물려받은 아빠 몫 땅으로 담보를 잡았고 외환은행에서 2차례에 걸쳐 총 36만 유로의 대출을 받았다”고 설명했다. 정씨는 “내 땅을 담보로 1원 한장 다른 도움없이 그 대출만으로 독일의 집을 샀고 한국에서 대출금을 모두 갚았다”며 외국환관리법은 전혀 문제가 될게 없다는 태도를 보였다.하지만 정씨는 비덱의 일에 대해 아는 것이 없다고 하면서 비덱 재직증명서로 대출을 받은 의혹에 대해서는 언급하지 않았다.지난해 9월말 덴마크를 은신처로 삼은 후 독일을 오고가며 도피행각을 벌인 의혹에 대해서는 말이 오락가락했다. 정씨는 언제 독일로 들어갔냐는 질문에 “2주전쯤 간 적이 있다”고 답변했다. 대략 2주전이면 지난달15일 독일교민이 프랑크푸르트 시내에서 최씨 모녀의 현지 조력자인 데이비드 윤과 정씨가 BMW 차량을 타고 가는 것을 봤다고 한 것과 시기적으로 일치한다. 정씨는 ‘15일 독일 프랑크푸르트 시내에서 누군가 봤다고 했는데’라는 질문이 나오자 “나는 그때 쇼핑은 하지 않았다”고 답변했다. 얼떨결에 교민이 목격한 그 시기에 프랑크푸르트 시내에 데이비드 윤과 함께 있었음을 사실상 시인한 것이다. 하지만 자신의 실언을 의식한 듯 곧바로 말을 바꿨다. 그는 ‘프랑크푸르트에서 얼마나 머물렀냐’는 질문이 나오자 “하루 머물다가 왔다. 그리고 프랑크푸르트도 아니고 슈미텐 윗쪽에 동네 이름은 잘 모르는데 매매계약서 때문에 다녀 온 적이 있다”고 황급하게 행선지를 바꿔서 말했다. 조력자 데이비드 윤에 대해서도 “만난지가 한 달이 넘었다. 데이비드 윤은 나와 연락 자체를 안하고 싶어한다”고 했다. 하지만 정씨가 체포된 은신처 주변 주민들은 정씨 일행이 온 뒤로 3달 동안 5~6차례 BMW차량이 마당에 주차된 것을 목격했다고 했다. 데이비드 윤 형제가 아니라면 BMW를 타고 정씨 일행을 찾아올 사람이 누구인지의문이 가는 대목이다.박근혜 대통령에 대해서는 답변 태도가 엇갈렸다. ‘대통령을 이모라고 부른다는데 사실이냐’는 질문에는 “그렇지 않다. 대통령을 보기는 했지만 내가 마지막으로 본게 거의 초등학교때 일 것”이라고 대통령과 거리를 유지했다. 2014년 세월호 참사 당시 박대통령의 의문의 7시간 행적에 대해서는 “그때는 내가 임신중이어서 어머니하고 사이가 완전히 틀어진 시기기 때문에 (엄마로부터)들은 얘기가 없다”고 했다. 하지만 간호장교를 대신해 박 대통령에게 주사를 놓은 의혹을 받고 있는 ‘백 선생’(주사아줌마)에 대해서는 “누구인지 알 것 같다”며 대통령을 곤궁에 빠트릴 뭔가를 쥐고 있다는 뉘앙스를 풍겼다. 정씨의 답변 한 마디 한 마디에는 한국으로 강제송환될 경우에 대비해 누군가 사전에 치밀하게 훈련을 시킨 흔적이 역력했다. 1차적으로 최씨의 변호를 맡고 있는 이경재 변호사가 연상되지만 정씨는 “이 변호사님은 바쁘신지 잘 연락이 안 된다”고 했다. 정씨가 체포될 경우에 대비해 어떤 전략을 짜놓았고 누가 배후에 있는지는 아직 정확히 알 수 없다. 하지만 정씨의 답변태도로 봐서는 당초 기대와 달리  쉽게 ‘비밀’을 털어놓을 것으로 보이지는 않는다.<강진구·강순원 통신원(덴마크",BH
3,20170104,"[단독]""정유라, 이대학장실 등 교내서 교수 6명에 학점취득 코치받아""","[연합뉴스TV제공]김병욱, 교육부 자료 확인…""학점 좋은이유 모른다더니""담당교수들 돌아가며 최순실-정유라 모녀에 '학점 잘받는 방법' 상담(서울=연합뉴스) 임형섭 기자 = '비선실세'로 지목된 최순실 씨의 딸 정유라 씨가 지난해 1학기 이화여대 체육대 학장실 등을 비롯한 교내에서 교수들과 돌아가며 상담을 받고 학점을 잘 받는 방법에 대해 코치를 받은 것으로 나타났다. 이는 덴마크 현지법원 심리과정에서 ""학점이 잘 나온 이유를 모른다""고 진술했던 정씨의 주장과 달리, 대학 측이 조직적으로 정씨의 학점을 챙겨주고 이를 정씨도 알고 있었다는 정황이 드러난 것이어서 논란이 예상된다. 국회 교육문화체육위원회 소속 더불어민주당 김병욱 의원이 4일 교육부에서 확인한 바에 따르면 최경희 총장을 포함해 이대에서 지난해 1학기 정씨를 만났다고 진술한 교수는 6명으로 나타났다. 이미 정씨에게 학점 특혜를 준 혐의로 구속된 류철균(필명 이인화) 교수까지 포함하면 7명 이상의 교수들이 정씨와 접촉한 셈이다. 제4차청문회에 출석한 김경숙 전 이화여자대학교 체육대학장 [연합뉴스 자료사진] 교육부에 따르면 우선 기존에 알려진 대로 최 총장은 지난해 4월 총장실에서 최씨와 정씨 모녀를 동시에 만나 ""운동을 열심히 하라""는 격려를 한 것으로 조사됐다. 김경숙 전 체육대학장 역시 비슷한 시기에 최씨와 정씨를 학장실에서 만났으며, 이때 학장실에는 이원준 체육과학부 학과장과 이경옥 교수가 동석한 것으로 파악됐다. 이 학과장과 이 교수는 이후 각자 연구실로 이동해 최씨와 정씨에게 상담을 해줬다.김병욱, '최순실 게이트는'  (서울=연합뉴스) 배재만 기자 = 더불어민주당 김병욱 의원이 19일 오전 국회 당 대표실에서 열린 '비선실세 국정농단 편파기소 대책위' 첫 회의에서 발언하고 있다. 2016.10.19",Politic
4,20170105,"윤전추 ""기억안나. 몰라. 말못해""… 헌재 ""본인범죄 외 답해라""","""외부인 동행 없다"" 주장하다 ""세월호 당일 미용사 태워왔다"" 윤전추 헌재 탄핵심리 증인으로 출두 (서울=연합뉴스) 이정훈 기자 = 윤전추 전 청와대 행정관이 박근혜 대통령 탄핵심판 사건의 2차 변론기일인 5일 오후 서울 종로구 재동 헌법재판소 대심판정에 증인으로 출두하고 있다. 2017.1.5",BH
5,20170106,강제송환 절차 시작…정유라 '조건없는 귀국 의사' 없는 듯(종합),"체포 이후 처음으로 19개월된 아들과 구금시설에서 상봉대법원 상고는 포기…검찰의 송환 결정 대비에 진력 예상(올보르=연합뉴스) 김병수 특파원 = 정유라 씨 범죄인 인도 요구서가 5일 오전(현지시간) 덴마크 법무부에 전달됨으로써 정 씨를 강제 송환하기 위한 절차가 본격 시작됐다. 한국 특검은 정 씨 강제송환에 박차를 가하는 한편, 이를 계기로 정 씨에 대한 심리적 압박 강도를 높여 자진 귀국을 유도하는 부수적 효과를 기대하고 있다. 하지만 덴마크에서 체포된 뒤 구치소에서 5일째 구금된 정 씨는 현재까지 구속을 각오하고 '아무런 조건 없이 한국으로 돌아가 특검의 조사에 응하겠다'는 의사는 없는 것으로 알려졌다.  정 씨는 지난 1일 덴마크의 북부도시 올보르에서 체포된 뒤 2일 지방법원에서 '구금 4주 연장'이라는 결정을 받았고, 이튿날 곧바로 구금이 부당하다며 고등법원에 항소했지만 받아들여지지 않았다.구금 5일째인 정유라씨 ［연합뉴스TV CG］  정 씨는 한때 대법원 상고까지 적극적으로 검토했으나 하급심 결정이 뒤집힐 가능성이 없다고 판단해 고심 끝에 이날 상고를 포기한 것으로 알려졌다.  이에 따라 정 씨는 오는 30일까지 구금시설에서 있으면서 덴마크 검찰로부터 한국 강제송환 대상에 해당하는지 조사를 받게 됐다.  대법원 상고를 포기한 것이 자진 귀국 가능성을 내비쳤다기보다는 오히려 검찰에서 한국 송환을 결정할 경우에 대한 대비를 철저히 하기 위한 것으로 풀이된다.  정 씨는 지난 2일 구금 기간 연장 심리에서 ""보육원이든, 사회시설이든, 병원이든 아이와 함께 있게 해주면 내일이라도 귀국하겠다""며 자신의 요구가 받아들여지는 것을 전제로 귀국 의사를 밝힌 바 있으며 아직도 이 생각에 변화가 없는 것으로 전해졌다. 이는 지난 2일 주덴마크 한국대사관 직원이 정 씨를 방문해 한 차례 면회한 이후 정 씨가 지금까지 '영사면회'를 요청한 적이 없다는 점에서도 뒷받침된다.  정 씨의 심경에 변화가 있었다면 본인이나 변호인을 통해 이를 한국대사관측에 알리고 조언이나 도움을 구했을 것이라는 지적이다.  정유라 ""아이와 함께 있게 해주면 내일이라도 귀국"" ［연합뉴스 자료사진］ 또 정씨가 현재 구치소에 수감돼 있지만 이곳 생활이 한국 구치소보다 그나마 좋은 환경이라는 점도 귀국을 꺼리는 한 요인으로 작용하고 있다는 분석이 나온다. 정 씨는 비록 19개월 된 어린 아들과 떨어져 있지만 구치소 내에서 한국과 달리 TV나 신문, 서적을 볼 수 있고, 구금 생활도 한국보다 훨씬 자유롭다는 것이다. 한편, 구금된 지 5일째인 정 씨는 지난 1일 경찰에 체포돼 생이별했던 아들과 이날 구치소에서 처음으로 상봉한 것으로 전해졌다. 당초 정 씨는 전날 아들과 만날 예정이었으나 하루 더 늦어졌다.   법원은 앞서 정 씨를 오는 30일까지 구금하도록 결정하면서 어린 아들을 고려해 인도적 차원에서 정씨와 아들의 면회를 적극 배려할 것을 약속했다.  정 씨는 아직 형이 확정되지 않아  덴마크 법상으로 구치소에서 어린 아들과 동반생활도 가능하지만 유모가 있어 아이를 더 잘 돌볼 수 있다고 판단해 이를 요구하지는 않은 것으로 보인다. 일각에선  정 씨가 이곳 구치소 생활에 적응하게 되면 한국에서 아이와 함께 지낼 수 있다는 보장이 없는 한 자진해서 귀국하거나, 덴마크 검찰의 송환 결정을 수용할 가능성은 더 줄어들 것이라는 관측을 내놓고 있다.   덴마크 검찰이 송환을 결정하더라도 정 씨는 이에 불복해 지방법원과 고등법원, 대법원에서 3차례 법리 다툼을 할 수 있다.  구금시설 들어가는 정유라씨 ［연합뉴스 자료사진］",Politic
6,20170107,"특검, 박근혜·이재용 거래단서 포착…삼성수뇌부 소환 초읽기","박근혜대통령(왼쪽)과 이재용 부회장 [연합뉴스 자료사진]이재용 부회장도 결국 소환 전망…삼성 외 SK·롯데 등도 수사(서울=연합뉴스) 이세원 이영재 기자 = '최순실 게이트'와 박근혜 대통령의 비위 의혹을 수사 중인 박영수 특별검사팀이 삼성그룹 고위층을 곧 소환할 전망이다. 특검은 임대기(61) 제일기획 사장을 6일 참고인으로 소환 조사한 데 이어 박상진 삼성전자 대외협력담당 사장, 장충기 삼성 미래전략실 차장(사장), 최지성 미래전략실장(부회장) 등 그룹 핵심 수뇌부를 곧 차례로 소환할 방침인 것으로 알려졌다. 특검은 그간 조사에서 국민연금이 삼성물산-제일모직 합병에 찬성해 이재용 부회장의 경영권 승계를 도와줬고 삼성 측은 그 대가로 최 씨와 딸 정유라 씨를 지원하는 등 사실상의 거래가 이뤄진 단서를 포착한 것으로 알려졌다. 특검은 특히 2015년 7월 25일 박근혜 대통령과 이 부회장이 독대했을 때 삼성이 승마협회 등을 통해 최 씨 측을 지원하도록 박 대통령이 종용한 것으로 보고 있다. 또 박 대통령이 삼성이 재단법인 미르와 K스포츠에 낼 금액까지 지목한 정황을 파악하고 관련자 진술을 확보한 것으로 전해졌다. 특검은 삼성과 박 대통령 사이에 최 씨를 매개로 뇌물이 오고 간 것으로 판단하고 있다. 이에 대해 삼성 측은 박 대통령이 압박해 이에 응할 수밖에 없었다며 자신들이 '공갈·강요'의 피해자라는 입장을 부각하고 있다. 지난6일 참고인으로 소환된 임대기(61) 제일기획 사장 [연합뉴스 자료사진]  박 대통령 측은 문화·스포츠 정책 차원에서 협조를 구한 것일 뿐 뇌물 의혹은 사실무근이라고 맞서고 있다. 특검은 6일 임 사장을 상대로 삼성전자가 최 씨의 조카인 장시호 씨가 사무총장인 한국동계스포츠영재센터에 16억2천800만원을 후원한 경위를 집중적으로 추궁했다. 특검은 삼성 수뇌부를 조사한 후 이 부회장도 조만간 소환할 계획이다. 특검은 삼성그룹에 대한 수사가 어느 정도 마무리되면 SK나 롯데 등 다른 대기업을 상대로도 박 대통령을 둘러싼 뇌물 의혹을 수사한다. 특검팀 대변인인 이규철 특검보는 6일 브리핑에서 '삼성 외 다른 대기업도 뇌물 혐의로 수사할 것이냐'는 질문에 ""의혹이 있는 기업에 대해서는 수사가 진행될 것""이라고 강조했다.",BH
7,20170108,"[단독] '최순실 금고' 열어보니 김영재 회사 서류…특검, 특혜의혹 수사","최씨 조카 장시호씨가 발견…김영재의원 특혜 결정적 단서될 듯(서울=연합뉴스) 이영재 전명훈 기자 = 박근혜 정부의 '비선 실세' 최순실씨의 단골 성형외과 병원 김영재의원이 온갖 특혜를 누린 배경에 최씨의 힘이 작용했음을 보여주는 물증을 박영수 특별검사팀이 확보한 것으로 알려졌다. 8일 법조계와 의료계 등에 따르면 최씨의 조카 장시호씨가 작년 4월 무렵 최씨의 금고에서 김영재의원 계열 화장품 회사인 존제이콥스 관련 서류를 발견한 사실을 특검팀이 파악했다. 문제의 금고는 최씨의 다른 물건들과 함께 장씨의 스포츠 매니지먼트 회사 더스포츠엠으로 옮겨졌는데 장씨가 열어보니 존제이콥스 관련 서류가 들어 있었다는 것이다. 최씨 금고를 더스포츠엠으로 가져간 사람은 최씨의 자금관리 실무자인 것으로 알려졌다. 그가 최씨의 금고를 옮긴 구체적인 이유는 확인되지 않았다. 존제이콥스는 김영재의원 병원장인 김영재 원장의 처남 박모씨가 운영하는 기업으로, 다양한 종류의 화장품을 제조하고 부유층을 대상으로 '뷰티 클리닉'도 운영한다. 최씨가 금고 안에 존제이콥스 관련 서류를 둔 것은 자신의 단골 성형외과 병원 계열사인 이 회사를 직접 챙겼음을 보여주는 결정적인 물증이라는 해석이 나온다. 최씨의 국정농단 의혹이 불거진 것을 계기로 존제이콥스는 박근혜 정부의 각종 특혜를 누렸다는 의혹에 휩싸인 상태다. 가장 대표적인게 2015년 신세계 면세점과 신라호텔 면세점에 잇달아 입점한 것이다. 특히, 신라호텔 면세점의 경우 존제이콥스는 세계적인 명품 브랜드가 즐비한 매장에 자리를 잡았다. 김영재성형외과 원장 [연합뉴스 자료사진] 인지도가 낮은데다 별다른 실적도 없는 중소 화장품 브랜드인 존제이콥스가 국내 유명 면세점에 들어간 것은 외부의 조력 없이는 어려운 일이라는 게 업계의 시각이다. 작년 2월에는 존제이콥스 화장품이 청와대 설 명절 선물로 채택됐다. 청와대가 존제이콥스를 각별히 챙긴게 아니냐는 의혹을 낳는 대목이다. 이에 따라 최씨가 박 대통령에게 존제이콥스를 연결해주고 청와대 권력을 움직여 이 회사가 온갖 특혜를 누리도록 했을 수 있다는 관측이 나온다. 그 대가로 최씨는 김영재의원으로부터 경제적 이익을 챙겼을 가능성이 크다. 최씨는 딸 정유라 씨의 초등학교 친구 부친의 회사인 KD코퍼레이션이 현대·기아차에 납품하도록 해줬을 때도 유사한 방식으로 행동했다. 이 사건으로 최씨는 직권남용 권리행사방해와 강요 혐의로 기소된 상태다. 김영재 원장은 작년 12월 14일 국회 국정조사특별위원회 청문회에 증인으로 나와 ""최순실은 이병석 (세브란스병원) 원장이 소개해줬다""며 최씨와 아는 사이라는 것을 시인했다. 김 원장은 최순실 '의료농단' 의혹의 핵심 인물로, '보안 손님'으로 청와대를 쉽게 드나들며 박 대통령에게 '비선 진료'를 했다는 의혹을 받고 있다. 그는 작년 3월 박 대통령의 중동 순방에 동행하는 등 각종 특혜를 누렸다.",BH
8,20170109,"조윤선 '블랙리스트 존재' 인정…""난 전혀 본적 없다""",조윤선 장관의 '생각 중'  (서울=연합뉴스) 배재만 기자 = 조윤선 문화체육관광부 장관이 9일 오후 국회에서 열린 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사 7차 청문회에 출석해 답변하던 중 눈을 감고 생각에 잠겨 있다.,BH
9,20170110,"헌재 ""朴 대통령측 '세월호 7시간' 답변서 부족""…보완요구","박근혜 대통령 (청와대 제공). /뉴스1""기억 살려 밝히라 했는데 그에 못 미쳐""소추위원단 ""기존 내용 짜깁기 수준"" 비판(서울=뉴스1) 구교운 기자,최은지  기자 = 박근혜 대통령 측이 '세월호 7시간' 관련 답변서를 제출했지만 헌법재판소는 요구에 미치지 못한다며 보완을 요구했다.헌재는 10일 열린 3회 변론기일에서 박 대통령 측 대리인에게 ""(준비절차에서) 대통령의 기억을 살려 당일 행적에 대해 밝히라고 했다""며 ""답변서가 그에 못미치고 부족하다""고 지적했다.헌재는 답변서에서 부족한 부분을 구체적으로 짚어가며 보완하라고 석명을 요구했다.이진성 헌법재판관은 먼저 ""답변서에 따르면 당일 오전 10시에 보고를 받아서 알게 된 것처럼 기재 돼 있다""며 ""기억을 살려 박 대통령이 세월호 침몰을 언제 처음 인지했는지 밝히라""고 했다.또 ""오전 9시가 조금 넘어 TV를 통해 보도되기 시작했는데 대통령은 TV를 통해 확인하지 않았는지 설명하라""고 명했다. 이 재판관은 ""답변서에 박 대통령이 김장수 안보실장과 수차례 통화를 했다고 돼 있다""며 ""답변서에 첨부한 3가지 자료는 국가안보실에서 대통령에게 서면으로 보낸 보고서""라고 설명했다.이어 ""최원영 복지수석과 12시50분 통화했고 통화기록이 있다고 돼 있다""며 ""안보실장과의 통화기록도 있을 것 같은데 이 기록도 제출해달라""고 말했다.국회 소추위원단 소속 이춘석 의원은 오전 기일 후 ""박 대통령 측이 제출한 것은 그동안 감사원에 제출한 자료, 세월호 특조위에서 조원진 의원이 공개한 부분 등을 짜깁기 한 수준""이라며 ""기존 제출한 정도를 정리해 제출한 것일 뿐 새로운 사항이 추가됐다고 보기 어렵다""고 비판했다.앞서 박 대통령 측은 세월호 참사 1000일 만인 이날 오전 9시 답변서를 제출했다",BH
